,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
0,"frozenset({'5114', '1535', '199'})","frozenset({'1575', '16498'})",0.14646,0.24688,0.0761,0.5195957940734671,2.1046491982885094,0.039941955200000004,1.5676798635588403
1,"frozenset({'199', '1575', '16498'})","frozenset({'5114', '1535'})",0.1172,0.29984,0.0761,0.6493174061433448,2.1655463118441327,0.040958752,1.9965633090024335
2,"frozenset({'5114', '1535'})","frozenset({'199', '1575', '16498'})",0.29984,0.1172,0.0761,0.2538020277481323,2.1655463118441323,0.040958752,1.183064056494145
3,"frozenset({'1575', '16498'})","frozenset({'5114', '1535', '199'})",0.24688,0.14646,0.0761,0.3082469215813351,2.1046491982885094,0.039941955200000004,1.2338795830893547
4,"frozenset({'5114', '1535', '16498'})","frozenset({'199', '30276'})",0.21202,0.18006,0.07708,0.36355060843316667,2.019052584878189,0.0389036788,1.2883035334222617
5,"frozenset({'5114', '1535', '30276'})","frozenset({'199', '16498'})",0.18112,0.21062,0.07708,0.42557420494699644,2.0205783161475472,0.03893250559999999,1.3742070895809302
6,"frozenset({'5114', '199', '16498'})","frozenset({'1535', '30276'})",0.13724,0.26342,0.07708,0.5616438356164383,2.1321229808535356,0.040928239199999994,1.6803231249999997
7,"frozenset({'199', '1535', '16498'})","frozenset({'5114', '30276'})",0.15054,0.24758,0.07708,0.5120233824897037,2.0681128624675003,0.03980930679999999,1.5419181432071873
8,"frozenset({'1535', '199', '30276'})","frozenset({'5114', '16498'})",0.12548,0.2811,0.07708,0.6142811603442779,2.1852762730141513,0.041807571999999994,1.863792809917355
9,"frozenset({'5114', '16498'})","frozenset({'1535', '199', '30276'})",0.2811,0.12548,0.07708,0.2742084667378157,2.185276273014151,0.041807571999999994,1.204918988334477
10,"frozenset({'5114', '30276'})","frozenset({'199', '1535', '16498'})",0.24758,0.15054,0.07708,0.3113337103158575,2.0681128624675003,0.03980930679999999,1.2334856703812318
11,"frozenset({'1535', '30276'})","frozenset({'5114', '199', '16498'})",0.26342,0.13724,0.07708,0.29261255789233925,2.1321229808535356,0.040928239199999994,1.2196427991842869
12,"frozenset({'199', '16498'})","frozenset({'5114', '1535', '30276'})",0.21062,0.18112,0.07708,0.3659671446206438,2.0205783161475472,0.03893250559999999,1.2915419020518197
13,"frozenset({'199', '30276'})","frozenset({'5114', '1535', '16498'})",0.18006,0.21202,0.07708,0.4280795290458736,2.019052584878189,0.0389036788,1.3777789745581668
14,"frozenset({'1535', '1575', '30276'})","frozenset({'199', '16498'})",0.15974,0.21062,0.06734,0.4215600350569676,2.0015194903473916,0.0336955612,1.3646705757575757
15,"frozenset({'199', '1535', '16498'})","frozenset({'1575', '30276'})",0.15054,0.20824,0.06734,0.44732297063903276,2.1481126135182134,0.035991550399999996,1.4325907499999997
16,"frozenset({'1535', '199', '30276'})","frozenset({'1575', '16498'})",0.12548,0.24688,0.06734,0.5366592285623206,2.1737655077864577,0.0363614976,1.6254127554179565
